Sentence,Topic,Indices,ArgumentIndices,Move,RValue,Class,SentenceId,Set,DocId,PredictedArgument,CoarseClass
"Today , the rate of unemployment is on the rise and is seriously being debated by many . With the help of the net , they can also do more research on the work that they have found apart from looking up on how they can prepare themselves for the job . They also believe that this solution is the most appropriate way to utilize the public money .",Giving mobile phones to the unemployed,"[(0, 18), (18, 51), (51, 69)]","[(18, 34)]",m1,0.485,SP,C1.897,train,essay084,"With the help of the net , they can also do more research on the work",SP
"So , I think the government have to spend more money on improving it . The use of public transportation helps in reducing the air pollution . So , the government have to invest more for it and encourage people to use .",Public transportation keeps society from the depletion of natural resources,"[(0, 15), (15, 26), (26, 43)]","[(15, 26)]",-,1.0,PM,C1.1956,test,essay193,The use of public transportation helps in reducing the air pollution,PM
"If I could decide I would chose living in the city for sure . Furthermore , the city has well-organised lines of transport . Today living in the rural places is in most causes connected with agrarian lifestyle , which for me is without perspective .",Life in  a city is much better than life in the countryside,"[(0, 16), (16, 23), (23, 46)]","[(16, 23)]",-,1.0,PM,C1.2464,test,essay241,the city has well-organised lines of transport,PM
"Although some people view that government should be take a responsibility for this unfair situation , critics against such view . I agree that in this occasion the government is not granted to hand in . In a field of art , modern artist may receive high salary for their masterpiece creation while labors should be break their bone for years to get similar amount of money .",High sum of money of modern artist,"[(0, 24), (24, 35), (35, 68)]","[(24, 29)]",m1,0.455,SP,C1.3655,train,essay344,in this occasion the government,SP
"Hence whether we should ban all the advertisements or not has aroused much controversy of the public . My view is that while some of them are disturbing , we can not overlook other merits the advertisements bring . Never in history was advertising industry so developed as in modern society and it has led to some adverse sentiments in public because some deliver exaggerated and fake information .",Should all the advertisements be banned?,"[(0, 22), (22, 38), (38, 69)]","[(24, 38)]",m1,0.875,IMP,C1.754,test,essay071,"of them are disturbing , we can not overlook other merits the advertisements bring",DISP
"The greater our goal is , the more competition we need . However , when we consider about the question that how to win the game , we always find that we need the cooperation . It is always said that competition can effectively promote the development of economy .",Should students be taught to compete or to cooperate?,"[(0, 14), (14, 35), (35, 50)]","[(15, 35)]",m1,0.952,IMP,C1.8,train,essay001,"we consider about the question that how to win the game , we always find that we need the cooperation",DISP
"However , it can be seen that some people have argued against advertising due to its negative impacts . First , it is generally understood that advertising is carried out with the main purpose of promoting different products and services or encouraging people to consume more . Many believe that advertising has brought great benefits to lives therefore it should be considered a positive activity while others have held a complete different idea about this .",Advertising - positive or negative part of our lives,"[(0, 26), (26, 46), (46, 76)]","[(26, 36)]",m1,0.5,SP,C1.875,test,essay082,advertising is carried out with the main purpose of promoting,SP
Some people advocate the idea that human activity is advantageously influencing to the Earth . People are corrupting their ecosphere . Whether human activity is making the Earth a better place to live or damaging it is a debatable issue .,Some people believe that the Earth is being harmed by human,"[(0, 15), (15, 20), (20, 41)]","[(15, 18)]",m4,0.6,MISP,C1.2028,train,essay200,People are corrupting,DISP
"However , some people think it is better to make children be competitive than cooperative , both the values have its arguments . On the other hand , cooperation is also an essential quality for children , no matter in school activities or in communities . In present educational system there are variety of competitions in academic area and athletic area for children to attend , which could stimulating the will of children to learn and to achieve the best of them , and also be able to teach them teamwork skill .",Sense of cooperation,"[(0, 28), (28, 45), (45, 93)]","[(28, 45)]",-,1.0,PM,C1.3640,train,essay342,"cooperation is also an essential quality for children , no matter in school activities or in communities",PM
"Thus , competition and co-operation go hand in hand . I firmly believe that children should be taught co-operation complimented with a healthy competition . When co-operation and healthy competition is followed together , success , achievements , recognition and any goal becomes easier .",Competition or co-operation-which is better,"[(0, 14), (14, 24), (24, 45)]","[(14, 24)]",-,1.0,PM,C1.593,train,essay058,children should be taught co-operation complimented with a healthy competition,PM
"In order to prevent the disappearance of the historic buildings , some citizens suggest the government to spend money on historic buildings . By seeing historic buildings -- whether related to something famous or recognizably dramatic , people are able to witness the aesthetic and cultural history of an area . Unfortunately , the unstoppable trend of urbanization makes me only appreciate parts of those classic buildings in the pictures or in museums .",The city which I enjoy the most is a combination of history and modernity,"[(0, 23), (23, 50), (50, 74)]","[(23, 36)]",m1,0.481,SP,C1.3562,test,essay331,By seeing historic buildings -- whether related to something famous or recognizably dramatic,SP
"Along with the increasing physical demands of human life , salary has become the most influential consideration in defining careers of everyone . More specifically , people tend to choose high salary jobs so as to not only help themselves but also support partially or wholly their family 's living needs such as food , clothes , accommodation , education , medication . In the following paragraphs , some of my viewpoints would be given and analyzed respectively .",Salary is the most important consideration when choosing a job,"[(0, 26), (26, 62), (62, 79)]","[(35, 62)]",m1,0.75,IMP,C1.3970,train,essay379,"to not only help themselves but also support partially or wholly their family 's living needs such as food , clothes , accommodation , education , medication",DISP
"As young people gets older they tend to seek more freedom and want to live on their own . While some critics may argue that , young adults living with parents will not be free to do what they want . But , the issue of what is the right age for young adults to leave their parents and start living on their own is a contentious one .",Young adults preference on how long they should live with their parents before moving out,"[(0, 26), (26, 40), (40, 69)]","[(26, 33)]",m1,0.5,SP,C1.3583,train,essay332,young adults living with parents will not,SP
