Sentence,Topic,Indices,ArgumentIndices,Move,RValue,Class,SentenceId,Set,DocId,PredictedArgument,CoarseClass
"The development of DNA testing has exonerated a number of convicted criminals , include some on death row . Police chiefs nationwide rate the death penalty as one of the most inefficient uses of taxpayer dollars . Overwhelmingly , people prefer life over death and fear death more than life .",death penalty,"[(0, 19), (19, 36), (36, 51)]","[(19, 36)]",-,1.0,PM,C1.731,train,doc_2685,Police chiefs nationwide rate the death penalty as one of the most inefficient uses of taxpayer dollars,PM
"The cell is then stimulated and if the process is successful , a cloned human embryo is produced that is genetically almost identical to the donor of the somatic cell . r. It is likely that an attempt to clone humans would be based on the same meth They have the ability to travel far from the user and are able to communicate with the original .",cloning,"[(0, 31), (31, 48), (48, 67)]","[(3, 20)]",-,0.0,MU,C2.799,train,doc_1641,"then stimulated and if the process is successful , a cloned human embryo is produced that is",MU
"Cloning is the process of producing populations of genetically identical organisms .... Also , the FDA , which regulates public cloning research , requires anyone in the United States attempting to clone humans to first get its permission . Among the mammals cloned till date , high incidences of debilitating ailments and conditions such as the `` large-offspring syndrome '' are found . Upon encountering an object , both Clone and Clone : :PP will deep copy it , and therefore violate its encapsulation .",cloning,"[(0, 14), (14, 38), (38, 39), (39, 62), (62, 85)]","[(11, 56)]",m8,0.911,MG,C3.383,train,doc_1122,".... Also , the FDA , which regulates public cloning research , requires anyone in the United States attempting to clone humans to first get its permission . Among the mammals cloned till date , high incidences of debilitating ailments and conditions such as the",MG
"Gun control laws do not actually control guns Must every tragic mass shooting bring out the shrill ignorance of “ gun control ” advocates ? But since both the advocates and opponents of gun control stick to their positions , the issue remains unresolved . Gun control statistics can provide useful insights into this issue .",gun control,"[(0, 25), (25, 45), (45, 56)]","[(3, 12)]",-,0.0,MU,C2.2486,test,doc_3377,do not actually control guns Must every tragic mass,MU
"The very small group of American women who are at risk of experiencing an unintended pregnancy but are not using contraceptives account for more than half of all abortions . More abortions , not safer abortions As these basic facts illustrate , the claim that legalized abortion will save women from “ unsafe abortions ” is without merit . The number of women at risk of unintended pregnancies leads to higher abortion rates directly and indirectly through its effects on medical access .",abortion,"[(0, 42), (42, 58), (58, 83)]","[(42, 58)]",-,1.0,PM,C1.152,train,doc_793,the claim that legalized abortion will save women from “ unsafe abortions ” is without merit,PM
"After Chicago ’ s ban on such firearms was struck down in 2010 , the city passed a new law requiring anyone who wanted to keep a handgun at home to complete an hour of training on a gun range . By a seven-point margin , the public currently says it is more important to control gun ownership ( 49 % ) than to protect the right of Americans to own guns ( 42 % ) . That means any gun data collected by the US government in the future will exist forever .",gun control,"[(0, 41), (41, 77), (77, 94)]","[(19, 32)]",-,0.0,MU,C2.2047,train,doc_3490,law requiring anyone who wanted to keep a handgun at home to complete,MU
"Abortion means `` Induced termination of pregnancy and expulsion of an embryo or fetus that is incapable of survival . Thus , all Americans are forced to purchase health insurance that could cover abortion and in some cases is required to cover abortion . Medical abortion , also known as non-surgical abortion , is one way to terminate an early pregnancy using medications .",abortion,"[(0, 20), (20, 44), (44, 64)]","[(23, 40)]",-,0.0,MU,C2.274,train,doc_526,Americans are forced to purchase health insurance that could cover abortion and in some cases is required,MU
"The development of DNA testing has exonerated a number of convicted criminals , include some on death row . Shellengerger stated , at a House committee hearing on the bill , “ These artificial limits do not make sense in the real world of litigation ” ( “ State Attorney General Argues Against Death Penalty Curbs , ” and they have the deathpenalty in that particular state ; the defendant can plead guilty to the charges in return they receive a sentence of life in prison instead of receiving the deathpenalty .",death penalty,"[(0, 19), (19, 58), (58, 92)]","[(35, 35)]",-,0.0,MU,C2.1055,train,doc_2403,,MU
"A clone could also be an organism that grew from a single parent by asexual reproduction . The side effects caused by cloning are sometimes difficult to identify in the initial level . In a slightly different scenario , a wife whose husband has recently died could have his DNA placed into one of her nucleated eggs and have a child with his same genetic potential . When using the Clone Stamp tool for touching up images , you should resample many times so as to not leave a seam where you replaced pixels .",cloning,"[(0, 18), (18, 32), (32, 39), (39, 66), (66, 95)]","[(18, 51)]",m2,0.788,MG,C3.494,train,doc_1931,"side effects caused by cloning are sometimes difficult to identify in the initial level . In a slightly different scenario , a wife whose husband has recently died could have his DNA placed",MG
"But they are not ashamed on it as they have alot of skill to be able to hide their showing underwear in public . ( Newstream ) -- This fall , more public schools will turn to student uniforms to reduce the teasing and bullying that can lead to the kind of hostility and tension feared by many parents , educators and kids today . However , if a board requires uniforms under such other authority , it shall accommodate students so that the uniform requirement is not an unfair barrier to school attendance and participation .",school uniforms,"[(0, 31), (31, 64), (64, 97)]","[(31, 47)]",m1,0.485,SP,C1.2120,train,doc_7405,more public schools will turn to student uniforms to reduce the teasing and bullying that can,SP
